"AREANAME","ADMIN_UN_1","total","UnitTot","percent"
"Unit 19A Wolf Predation Control Focus Area"," ",12.5665655,3904.8507347,0.32
"Unit 19A Wolf Predation Control Focus Area","AK Dept. Transportation",0.0557156,3904.8507347,0
"Unit 19A Wolf Predation Control Focus Area","Alaska-Other",2748.7973305,3904.8507347,70.39
"Unit 19A Wolf Predation Control Focus Area","Anchorage Field Office",784.0571464,3904.8507347,20.08
"Unit 19A Wolf Predation Control Focus Area","Calista Corporation",19.0165316,3904.8507347,0.49
"Unit 19A Wolf Predation Control Focus Area","Eielson Air Force Base",0.0025568,3904.8507347,0
"Unit 19A Wolf Predation Control Focus Area","Kuskokwim Corporation",175.2319946,3904.8507347,4.49
"Unit 19A Wolf Predation Control Focus Area","Lime Village Corporation",100.8359985,3904.8507347,2.58
"Unit 19A Wolf Predation Control Focus Area","Private",0.207547,3904.8507347,0.01
"Unit 19A Wolf Predation Control Focus Area","U.S. Air Force",0.0752699,3904.8507347,0
"Unit 19A Wolf Predation Control Focus Area","Water",64.0040783,3904.8507347,1.64
"Unit 19D-East Wolf Control Focus Area"," ",14.1954984,5578.534394,0.25
"Unit 19D-East Wolf Control Focus Area","AK Dept. Fish & Game",0.0019219,5578.534394,0
"Unit 19D-East Wolf Control Focus Area","AK Dept. Transportation",0.915401,5578.534394,0.02
"Unit 19D-East Wolf Control Focus Area","Alaska-Other",3022.4386436,5578.534394,54.18
"Unit 19D-East Wolf Control Focus Area","Anchorage Field Office",923.4267815,5578.534394,16.55
"Unit 19D-East Wolf Control Focus Area","Central Yukon Field Office",68.2415009,5578.534394,1.22
"Unit 19D-East Wolf Control Focus Area","Doyon, Limited",1094.1236365,5578.534394,19.61
"Unit 19D-East Wolf Control Focus Area","Mcgrath, City of",0.011381,5578.534394,0
"Unit 19D-East Wolf Control Focus Area","MTNT, Limited",346.5589223,5578.534394,6.21
"Unit 19D-East Wolf Control Focus Area","Private",2.0498737,5578.534394,0.04
"Unit 19D-East Wolf Control Focus Area","Tatalina Air Force Station",7.7565398,5578.534394,0.14
"Unit 19D-East Wolf Control Focus Area","Water",98.8142934,5578.534394,1.77
