"AREANAME","AGENCY_NAM","sqMi","percent"
"19A Inside Prop WCA","Alaska Native Allotment",24.2395379459395,0.96
"19A Inside Prop WCA","Alaska Native Lands Patented or Interim Conveyed",560.312449579527,22.14
"19A Inside Prop WCA","Bureau of Land Management",607.826906426169,24.01
"19A Inside Prop WCA","Federal Aviation Administration",0.00717152616285,0
"19A Inside Prop WCA","Fish and Wildlife Service",212.34881002444,8.39
"19A Inside Prop WCA","Private",1.16461464931298,0.05
"19A Inside Prop WCA","State",1053.45631626042,41.62
"19A Inside Prop WCA","Undetermined",71.9832703115163,2.84
"19A Outside Prop WCA","Air Force",0.000624139203222,0
"19A Outside Prop WCA","Alaska Native Allotment",10.2544999047425,0.32
"19A Outside Prop WCA","Alaska Native Lands Patented or Interim Conveyed",405.642939921975,12.79
"19A Outside Prop WCA","Bureau of Land Management",1411.81053250186,44.52
"19A Outside Prop WCA","Private",0.08344939128376,0
"19A Outside Prop WCA","State",1321.18816396309,41.66
"19A Outside Prop WCA","Undetermined",22.4630666529795,0.71
